i,j,dist
649,652,2.4094936709329398
649,658,9.553792253374825
649,660,5.868542212698533
649,661,5.076528004066727
649,663,3.369476037216167
649,1079,9.574849482327924
649,1080,6.279603568779396
649,1081,6.724190669896819
649,1084,9.69650661291594
649,1085,13.959242995348944
649,1088,12.923208877863654
652,649,2.5436226664134955
652,658,9.216857874355085
652,660,5.531607833678793
652,661,4.739593625046988
652,663,3.6730680951209127
652,1079,9.237915103308183
652,1080,5.942669189759655
652,1081,6.387256290877079
652,1084,9.3595722338962
652,1085,13.622308616329205
652,1088,12.586274498843915
658,649,9.818134095453908
658,652,9.347070720953614
658,660,5.57175099205392
658,661,6.850450137691535
658,663,7.463386108129976
658,710,10.26121830465514
658,1079,10.821352737732843
658,1080,9.19037910283177
658,1081,9.634966203949197
658,1084,9.864848435821658
658,1085,5.678933267821659
658,1088,3.420896624488829
658,1127,14.788276435780812
658,1128,13.51433299270179
658,1130,12.376426256741212
658,1132,13.525127160779796
658,1133,12.834797142653645
660,649,6.1491249527803165
660,652,5.678061578280022
660,658,5.526179312250277
660,661,3.502019303351886
660,663,5.850027642708351
660,1079,7.342114024326378
660,1080,4.046868110777852
660,1081,4.491455211895276
660,1084,7.463771154914396
660,1085,11.153632580071935
660,1088,8.895595936739106
660,1130,14.689994014526345
661,649,5.259272235088302
661,652,4.788208860588007
661,658,6.7797935402336895
661,660,3.5724422078913403
661,663,3.7372017573867695
661,1079,8.665843886144266
661,1080,5.370597972595738
661,1081,5.815185073713162
661,1084,8.787501016732284
661,1085,12.407246808055348
661,1088,10.149210164722518
663,649,3.236034783333783
663,652,3.432644609757972
663,658,7.029429376168505
663,660,5.55715041274418
663,661,3.373901622883145
663,1079,9.249909177000845
663,1080,5.954663263452317
663,1081,6.39925036456974
663,1084,9.37156630758886
663,1085,12.656882643990162
663,1088,10.398846000657333
690,691,2.75658329592411
690,736,5.918188716977653
690,741,5.776999014535831
690,759,6.030358375628562
691,690,2.8255544742742797
691,736,5.585074005904161
691,741,5.443884303462339
691,759,5.69724366455507
710,658,8.081845587265853
710,660,13.602116579319771
710,661,14.880815724957387
710,714,6.654031854479875
710,1079,11.592294884877301
710,1080,13.684595754387267
710,1081,14.72102620635167
710,1084,14.47981080937336
710,1085,10.29389564137336
710,1088,8.306645574571965
710,1127,14.395113367465694
710,1128,13.121169924386672
710,1130,11.983263188426093
710,1132,13.131964092464678
710,1133,12.441634074338527
714,710,8.352538765449767
736,690,5.787942587103165
736,691,5.479856697679505
736,741,0.50937345496508
736,759,2.12540428546691
741,690,5.736350463696265
741,691,5.428264574272605
741,736,0.504971034
741,759,2.2284921263591055
759,690,5.78072523736743
759,691,5.47263934794377
759,736,2.006017277080265
759,741,2.0985269536221747
1079,649,10.2929985314798
1079,652,9.821935156979505
1079,658,11.001492698737362
1079,660,7.506569919362293
1079,661,9.201248704274565
1079,663,10.074352716035103
1079,710,13.890551817498858
1079,1080,3.620876393677383
1079,1081,4.657306845641783
1079,1084,5.46300840407174
1079,1085,8.525119112632606
1079,1088,11.226292686043475
1079,1126,10.759525827502346
1079,1127,11.217781323373853
1079,1128,9.94383788029483
1079,1130,8.80593114433425
1079,1132,9.954632048372837
1079,1133,9.264302030246686
1080,649,6.98091733294725
1080,652,6.509853958446955
1080,658,9.292428033080023
1080,660,4.194488720829747
1080,661,5.889167505742019
1080,663,6.76227151750256
1080,1079,3.6040411086933655
1080,1081,1.601690207639144
1080,1084,4.225451071890649
1080,1085,8.488187454323652
1080,1088,11.897301466999712
1080,1126,12.905515782061427
1080,1127,13.36377127793293
1080,1128,12.089827834853908
1080,1130,10.95192109889333
1080,1132,12.100622002931914
1080,1133,11.410291984805763
1081,649,7.332885222409711
1081,652,6.861821847909416
1081,658,9.644395922542484
1081,660,4.546456610292207
1081,661,6.241135395204481
1081,663,7.114239406965021
1081,1079,4.5478523490028016
1081,1080,1.5090709959841806
1081,1084,3.7171019752777603
1081,1085,7.979838357710765
1081,1088,12.841112707309149
1081,1126,13.849327022370863
1081,1127,14.307582518242366
1081,1128,13.033639075163345
1081,1130,11.895732339202766
1081,1132,13.04443324324135
1081,1133,12.3541032251152
1084,649,10.307743968409715
1084,652,9.83668059390942
1084,658,9.970820957395825
1084,660,7.521315356292208
1084,661,9.215994141204483
1084,663,10.089098152965018
1084,1079,5.356096710413638
1084,1080,4.135374663216564
1084,1081,3.719644778258639
1084,1085,4.7252963824330045
1084,1088,10.195620944701938
1084,1126,14.657571383781699
1084,1128,13.841883436574184
1084,1130,12.703976700613605
1084,1132,13.85267760465219
1084,1133,13.162347586526039
1085,649,14.510819136409715
1085,652,14.03975576190942
1085,658,5.72524457496282
1085,660,11.245515567016739
1085,661,12.524214712654356
1085,663,13.137150683092793
1085,710,12.51957966590381
1085,1079,8.391290458769248
1085,1080,8.338449831216563
1085,1081,7.92271994625864
1085,1084,4.665635168
1085,1088,5.950044562268933
1085,1126,14.997314455503108
1085,1127,12.358214156817215
1085,1128,11.084270713738194
1085,1130,9.946363977777615
1085,1132,11.0950648818162
1085,1133,10.404734863690049
1088,649,13.074152992767402
1088,652,12.603089618267107
1088,658,3.3074988973134936
1088,660,8.827769889367413
1088,661,10.106469035005027
1088,663,10.719405005443466
1088,710,10.372620564785919
1088,1079,10.932754997863622
1088,1080,11.493854809576124
1088,1081,12.530285261540527
1088,1084,9.976250695952436
1088,1085,5.790335527952437
1088,1127,14.899678695911593
1088,1128,13.625735252832571
1088,1130,12.487828516871993
1088,1132,13.636529420910577
1088,1133,12.946199402784426
1126,1079,10.64733666879488
1126,1080,12.739637538304846
1126,1081,13.776067990269249
1126,1084,14.581769548699205
1126,1127,4.6471344395215075
1126,1128,5.863595900938475
1126,1130,8.445592565417847
1126,1132,7.749474381032911
1126,1133,7.999881765715436
1127,658,14.147478384852825
1127,1079,10.458099057213595
1127,1080,12.55039992672356
1127,1081,13.586830378687964
1127,1084,14.39253193711792
1127,1085,11.671104798748068
1127,1088,14.372278372158938
1127,1126,3.905641332068715
1127,1128,5.708688222712812
1127,1130,5.064999159279159
1127,1132,4.368880974894224
1127,1133,4.61928835957675
1128,658,12.899824499023016
1128,710,14.686034148097184
1128,1079,9.210445171383787
1128,1080,11.302746040893753
1128,1081,12.339176492858156
1128,1084,13.144878051288112
1128,1085,10.423450912918259
1128,1088,13.124624486329129
1128,1126,5.242392350734896
1128,1127,5.734977779962027
1128,1130,4.324943625789524
1128,1132,5.4736445298281104
1128,1133,4.78331451170196
1130,658,10.765974711126013
1130,660,13.054589778681658
1130,661,14.749268563593937
1130,710,12.552184360200181
1130,1079,7.076595383486781
1130,1080,9.16889625299675
1130,1081,10.205326704961154
1130,1084,11.01102826339111
1130,1085,8.289601125021255
1130,1088,10.990774698432126
1130,1126,6.734445963277844
1130,1127,4.095345664591949
1130,1128,3.3290005738531003
1130,1132,2.83219638959093
1130,1133,2.14186637146478
1132,658,12.40759932954953
1132,660,14.696214397105175
1132,710,14.193808978623698
1132,1079,8.718220001910302
1132,1080,10.810520871420268
1132,1081,11.84695132338467
1132,1084,12.652652881814626
1132,1085,9.931225743444774
1132,1088,12.632399316855643
1132,1126,6.5312514932778445
1132,1127,3.8921511945919485
1132,1128,4.9706251922766205
1132,1130,3.325120103975865
1132,1133,2.879409304273455
1133,658,11.385735200740857
1133,660,13.674350268296502
1133,710,13.171944849815025
1133,1079,7.696355873101625
1133,1080,9.788656742611595
1133,1081,10.825087194575998
1133,1084,11.630788753005953
1133,1085,8.909361614636099
1133,1088,11.61053518804697
1133,1126,6.450124767277844
1133,1127,3.8110244685919485
1133,1128,3.9487610634679453
1133,1130,2.30325597516719
1133,1132,2.54787519359093
